GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
1400000US17031240500,17031240500,"Census Tract 2405, Cook County, Illinois",2097,195
1400000US17031240600,17031240600,"Census Tract 2406, Cook County, Illinois",1449,219
1400000US17031240700,17031240700,"Census Tract 2407, Cook County, Illinois",1099,80
1400000US17031240800,17031240800,"Census Tract 2408, Cook County, Illinois",1009,149
1400000US17031240900,17031240900,"Census Tract 2409, Cook County, Illinois",1024,85
1400000US17031241000,17031241000,"Census Tract 2410, Cook County, Illinois",1118,126
1400000US17031241100,17031241100,"Census Tract 2411, Cook County, Illinois",1249,91
1400000US17031241200,17031241200,"Census Tract 2412, Cook County, Illinois",1610,134
1400000US17031241300,17031241300,"Census Tract 2413, Cook County, Illinois",1983,144
1400000US17031241400,17031241400,"Census Tract 2414, Cook County, Illinois",1837,243
1400000US17031241500,17031241500,"Census Tract 2415, Cook County, Illinois",1645,139
1400000US17031241600,17031241600,"Census Tract 2416, Cook County, Illinois",1510,137
1400000US17031242000,17031242000,"Census Tract 2420, Cook County, Illinois",1056,179
1400000US17031242100,17031242100,"Census Tract 2421, Cook County, Illinois",1620,173
1400000US17031242200,17031242200,"Census Tract 2422, Cook County, Illinois",1595,160
1400000US17031242300,17031242300,"Census Tract 2423, Cook County, Illinois",1427,105
1400000US17031242400,17031242400,"Census Tract 2424, Cook County, Illinois",1431,67
1400000US17031242500,17031242500,"Census Tract 2425, Cook County, Illinois",1227,91
1400000US17031242600,17031242600,"Census Tract 2426, Cook County, Illinois",1075,137
1400000US17031242700,17031242700,"Census Tract 2427, Cook County, Illinois",1017,73
1400000US17031242800,17031242800,"Census Tract 2428, Cook County, Illinois",1280,142
1400000US17031242900,17031242900,"Census Tract 2429, Cook County, Illinois",1289,92
1400000US17031243000,17031243000,"Census Tract 2430, Cook County, Illinois",1225,137
1400000US17031243100,17031243100,"Census Tract 2431, Cook County, Illinois",1294,226
1400000US17031243200,17031243200,"Census Tract 2432, Cook County, Illinois",1432,150
1400000US17031243300,17031243300,"Census Tract 2433, Cook County, Illinois",1355,87
1400000US17031243400,17031243400,"Census Tract 2434, Cook County, Illinois",1350,135
1400000US17031243500,17031243500,"Census Tract 2435, Cook County, Illinois",1890,138
1400000US17031250200,17031250200,"Census Tract 2502, Cook County, Illinois",988,102
1400000US17031250300,17031250300,"Census Tract 2503, Cook County, Illinois",981,54
1400000US17031250400,17031250400,"Census Tract 2504, Cook County, Illinois",1059,55
1400000US17031250500,17031250500,"Census Tract 2505, Cook County, Illinois",739,149
1400000US17031250600,17031250600,"Census Tract 2506, Cook County, Illinois",1011,94
1400000US17031250700,17031250700,"Census Tract 2507, Cook County, Illinois",921,180
1400000US17031250800,17031250800,"Census Tract 2508, Cook County, Illinois",957,83
1400000US17031251000,17031251000,"Census Tract 2510, Cook County, Illinois",881,62
1400000US17031251100,17031251100,"Census Tract 2511, Cook County, Illinois",830,80
1400000US17031251200,17031251200,"Census Tract 2512, Cook County, Illinois",1087,303
1400000US17031251300,17031251300,"Census Tract 2513, Cook County, Illinois",1069,73
1400000US17031251400,17031251400,"Census Tract 2514, Cook County, Illinois",790,76
1400000US17031251500,17031251500,"Census Tract 2515, Cook County, Illinois",927,53
1400000US17031251600,17031251600,"Census Tract 2516, Cook County, Illinois",978,60
1400000US17031251700,17031251700,"Census Tract 2517, Cook County, Illinois",1030,184
1400000US17031251800,17031251800,"Census Tract 2518, Cook County, Illinois",952,64
1400000US17031251900,17031251900,"Census Tract 2519, Cook County, Illinois",835,65
1400000US17031252000,17031252000,"Census Tract 2520, Cook County, Illinois",816,66
1400000US17031252101,17031252101,"Census Tract 2521.01, Cook County, Illinois",706,38
1400000US17031252102,17031252102,"Census Tract 2521.02, Cook County, Illinois",987,113
1400000US17031252201,17031252201,"Census Tract 2522.01, Cook County, Illinois",937,42
1400000US17031252202,17031252202,"Census Tract 2522.02, Cook County, Illinois",854,74
1400000US17031260100,17031260100,"Census Tract 2601, Cook County, Illinois",538,39
1400000US17031260200,17031260200,"Census Tract 2602, Cook County, Illinois",1064,66
1400000US17031260300,17031260300,"Census Tract 2603, Cook County, Illinois",783,180
1400000US17031260400,17031260400,"Census Tract 2604, Cook County, Illinois",836,268
1400000US17031260500,17031260500,"Census Tract 2605, Cook County, Illinois",1163,124
1400000US17031260600,17031260600,"Census Tract 2606, Cook County, Illinois",998,175
1400000US17031260700,17031260700,"Census Tract 2607, Cook County, Illinois",954,62
1400000US17031260800,17031260800,"Census Tract 2608, Cook County, Illinois",995,142
1400000US17031260900,17031260900,"Census Tract 2609, Cook County, Illinois",742,174
1400000US17031261000,17031261000,"Census Tract 2610, Cook County, Illinois",1010,91
1400000US17031270500,17031270500,"Census Tract 2705, Cook County, Illinois",908,86
1400000US17031271200,17031271200,"Census Tract 2712, Cook County, Illinois",998,84
1400000US17031271300,17031271300,"Census Tract 2713, Cook County, Illinois",823,102
1400000US17031271400,17031271400,"Census Tract 2714, Cook County, Illinois",909,86
1400000US17031271500,17031271500,"Census Tract 2715, Cook County, Illinois",1096,85
1400000US17031271800,17031271800,"Census Tract 2718, Cook County, Illinois",547,156
1400000US17031280100,17031280100,"Census Tract 2801, Cook County, Illinois",2214,61
1400000US17031280400,17031280400,"Census Tract 2804, Cook County, Illinois",1118,79
